epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.1643,1.25428,3.60555,1.56394,0.00313,0.95,0.02847,0.01935,0.90768,4.1588,1.50168,1.25e-05,1.25e-05,1.25e-05
2,22.3895,1.14147,3.46966,1.59144,0.00337,1,0.04181,0.02704,0.85487,4.13533,1.46117,3.71287e-05,3.71287e-05,3.71287e-05
3,32.5269,1.10731,3.3965,1.4954,0.00329,0.95,0.0935,0.0602,0.81481,4.09936,1.40211,6.12625e-05,6.12625e-05,6.12625e-05
4,42.6818,0.87601,3.3416,1.31561,0.00351,0.95,0.20785,0.15346,0.78632,4.07343,1.34128,8.49012e-05,8.49012e-05,8.49012e-05
5,52.8875,0.88533,3.40537,1.30933,0.00377,0.95,0.43781,0.35496,0.7982,4.03949,1.33916,0.000108045,0.000108045,0.000108045
6,63.0285,1.04802,3.09887,1.47323,0.00404,0.95,0.57936,0.45427,0.78494,4.04763,1.30623,0.000130694,0.000130694,0.000130694
7,73.2356,1.06182,3.13231,1.51847,0.00441,0.95,0.61359,0.46445,0.76299,3.99809,1.25754,0.000152847,0.000152847,0.000152847
8,83.4533,0.89331,2.78229,1.389,0.00478,0.95,0.63582,0.50546,0.64297,3.94136,1.15927,0.000174506,0.000174506,0.000174506
9,93.7301,0.81646,2.47209,1.26619,0.00479,0.95,0.66651,0.54195,0.64677,3.85625,1.13954,0.00019567,0.00019567,0.00019567
10,103.944,0.93443,2.14903,1.30038,0.00483,0.95,0.69714,0.58897,0.63759,3.76816,1.11483,0.000216339,0.000216339,0.000216339
11,114.045,0.89452,2.23659,1.31808,0.0049,0.95,0.67399,0.58636,0.63307,3.6993,1.10627,0.000236513,0.000236513,0.000236513
12,124.166,0.79419,1.95974,1.21579,0.00492,0.95,0.63568,0.54573,0.63035,3.61133,1.1093,0.000256191,0.000256191,0.000256191
13,135.162,0.69645,2.06394,1.16428,0.00492,0.95,0.59235,0.51368,0.60152,3.50902,1.09286,0.000275375,0.000275375,0.000275375
14,146.198,0.81983,1.91599,1.21276,0.00481,0.95,0.53927,0.45739,0.57857,3.43831,1.08697,0.000294064,0.000294064,0.000294064
15,156.319,0.84339,2.14016,1.26169,0.32231,0.53077,0.54996,0.47322,0.58041,3.39703,1.09977,0.000312257,0.000312257,0.000312257
16,166.493,0.67006,1.65851,1.05567,0.95134,0.28576,0.54726,0.45706,0.66946,3.36653,1.1652,0.000329956,0.000329956,0.000329956
17,176.456,0.71499,1.87644,1.2184,1,0.13357,0.52446,0.3962,0.83674,3.4004,1.33187,0.00034716,0.00034716,0.00034716
18,186.463,0.83066,1.83582,1.23891,1,0.12119,0.58716,0.4455,0.85733,3.46209,1.37706,0.000363869,0.000363869,0.000363869
19,196.594,0.74375,1.64748,1.1786,0.75372,0.56776,0.66879,0.49397,0.79717,3.45416,1.3202,0.000380083,0.000380083,0.000380083
20,206.704,0.76135,1.58266,1.18382,0.63263,0.58195,0.68341,0.52881,0.76691,3.40176,1.27195,0.000395801,0.000395801,0.000395801
21,216.776,0.88923,1.99245,1.306,1,0.13147,0.71641,0.54872,0.80228,3.33373,1.31535,0.000411025,0.000411025,0.000411025
22,226.889,0.8458,1.70751,1.30401,1,0.14544,0.77664,0.58909,0.82549,3.32339,1.32337,0.000425754,0.000425754,0.000425754
23,236.939,0.81986,1.45258,1.22475,1,0.26866,0.82932,0.58812,0.79391,3.30496,1.30306,0.000439988,0.000439988,0.000439988
24,247.024,0.80269,1.6347,1.26034,0.978,0.36616,0.79906,0.63948,0.80863,3.21829,1.33274,0.000453726,0.000453726,0.000453726
25,257.079,0.73444,1.41615,1.08995,1,0.41682,0.75015,0.60562,0.8216,3.16887,1.35777,0.00046697,0.00046697,0.00046697
26,267.112,0.7197,1.52687,1.14357,1,0.39585,0.76607,0.62346,0.80199,3.17707,1.36356,0.000479719,0.000479719,0.000479719
27,277.127,1.0962,2.27081,1.47122,0.96326,0.41,0.76372,0.6174,0.78402,3.21172,1.3415,0.000491972,0.000491972,0.000491972
28,287.155,0.84571,1.70883,1.2028,0.96326,0.41,0.76372,0.6174,0.78402,3.21172,1.3415,0.000503731,0.000503731,0.000503731
29,297.195,0.86872,1.61914,1.20848,0.88427,0.62079,0.7832,0.59084,0.79446,3.18365,1.34043,0.000514995,0.000514995,0.000514995
30,307.38,0.81768,1.57687,1.27527,0.7098,0.68958,0.8505,0.57999,0.88263,3.12823,1.36156,0.000525764,0.000525764,0.000525764
31,317.488,0.93358,1.58582,1.27523,0.7098,0.68958,0.8505,0.57999,0.88263,3.12823,1.36156,0.000536038,0.000536038,0.000536038
32,327.581,0.95941,1.70709,1.26487,0.75797,0.78333,0.82905,0.66735,0.81684,2.69823,1.27766,0.000545816,0.000545816,0.000545816
33,337.658,0.72166,1.4518,1.19881,0.7751,0.78333,0.83387,0.65795,0.76581,2.55319,1.24745,0.0005551,0.0005551,0.0005551
34,347.699,0.725,1.49189,1.13272,0.7751,0.78333,0.83387,0.65795,0.76581,2.55319,1.24745,0.000563889,0.000563889,0.000563889
35,357.832,0.87143,1.69163,1.31572,0.91482,0.82394,0.94636,0.7321,0.68454,2.43416,1.16763,0.000572182,0.000572182,0.000572182
36,367.968,0.78622,1.54208,1.23717,0.94285,0.86712,0.9469,0.75272,0.75347,2.38239,1.25292,0.000579981,0.000579981,0.000579981
37,378.072,0.84125,1.70577,1.20851,0.94285,0.86712,0.9469,0.75272,0.75347,2.38239,1.25292,0.000587285,0.000587285,0.000587285
38,388.169,0.71415,1.25273,1.13316,0.87322,0.85958,0.92703,0.72366,0.8062,2.47583,1.38493,0.000594094,0.000594094,0.000594094
39,398.326,0.75009,1.82171,1.26656,0.80372,0.82997,0.92156,0.71453,0.8876,2.63838,1.56795,0.000600408,0.000600408,0.000600408
40,408.334,0.73901,1.38419,1.04827,0.80372,0.82997,0.92156,0.71453,0.8876,2.63838,1.56795,0.000606226,0.000606226,0.000606226
41,418.569,0.81992,1.63384,1.21249,0.78707,0.87146,0.91438,0.71613,0.92702,2.69225,1.68905,0.00061155,0.00061155,0.00061155
42,428.714,0.69741,1.34014,1.14243,0.70056,0.79354,0.87575,0.70114,0.88366,2.78036,1.63976,0.000616379,0.000616379,0.000616379
43,438.827,0.77738,1.27679,1.17728,0.70056,0.79354,0.87575,0.70114,0.88366,2.78036,1.63976,0.000620713,0.000620713,0.000620713
44,448.923,0.78534,1.70865,1.26852,0.74828,0.782,0.88907,0.70201,0.87143,2.916,1.65192,0.000624551,0.000624551,0.000624551
45,459.013,0.74071,1.24941,1.1483,0.74828,0.782,0.88907,0.70201,0.87143,2.916,1.65192,0.000627895,0.000627895,0.000627895
46,469.114,0.73786,1.42181,1.16233,0.98236,0.57636,0.8567,0.68915,0.87723,2.84073,1.57385,0.000630744,0.000630744,0.000630744
47,479.256,0.5886,1.1675,0.9955,0.98236,0.57636,0.8567,0.68915,0.87723,2.84073,1.57385,0.000633098,0.000633098,0.000633098
48,490.272,0.54732,2.30799,1.04183,0.92897,0.65389,0.88912,0.7328,0.7852,2.31899,1.39927,0.000634956,0.000634956,0.000634956
49,500.33,0.81765,1.35957,1.19146,0.92897,0.65389,0.88912,0.7328,0.7852,2.31899,1.39927,0.00063632,0.00063632,0.00063632
50,510.69,0.83353,1.60835,1.24804,0.85131,0.87298,0.92375,0.77203,0.74543,2.2793,1.29143,0.000637189,0.000637189,0.000637189
51,520.989,0.74712,1.33478,1.26656,0.85131,0.87298,0.92375,0.77203,0.74543,2.2793,1.29143,0.00063125,0.00063125,0.00063125
52,531.17,0.67766,1.4206,1.09712,0.95768,0.89608,0.97438,0.8087,0.6698,1.99279,1.23442,0.000618875,0.000618875,0.000618875
53,541.369,0.70838,1.22546,1.20279,0.95768,0.89608,0.97438,0.8087,0.6698,1.99279,1.23442,0.0006065,0.0006065,0.0006065
54,551.559,0.61435,1.17113,1.03405,0.86787,0.99746,0.97,0.77944,0.64961,2.04063,1.31116,0.000594125,0.000594125,0.000594125
55,561.715,0.72094,1.57407,1.16057,0.86787,0.99746,0.97,0.77944,0.64961,2.04063,1.31116,0.00058175,0.00058175,0.00058175
56,571.953,0.64936,1.18701,1.05858,0.79472,0.93142,0.96167,0.73514,0.66295,2.35223,1.36377,0.000569375,0.000569375,0.000569375
57,582.258,0.84913,1.50939,1.27001,0.79472,0.93142,0.96167,0.73514,0.66295,2.35223,1.36377,0.000557,0.000557,0.000557
58,592.428,0.68805,1.22089,1.11957,0.76196,0.90991,0.94938,0.73439,0.64005,2.54802,1.26489,0.000544625,0.000544625,0.000544625
59,602.537,0.68622,1.50013,1.13447,0.76196,0.90991,0.94938,0.73439,0.64005,2.54802,1.26489,0.00053225,0.00053225,0.00053225
60,612.771,0.74445,1.39068,1.16582,0.83177,0.88675,0.97438,0.81371,0.58579,2.33439,1.11564,0.000519875,0.000519875,0.000519875
61,622.947,0.65437,1.16007,1.09767,0.83177,0.88675,0.97438,0.81371,0.58579,2.33439,1.11564,0.0005075,0.0005075,0.0005075
62,633.118,0.66409,1.12398,1.07862,0.80156,0.93854,0.995,0.87998,0.52457,2.01675,1.04876,0.000495125,0.000495125,0.000495125
63,643.243,0.62413,1.12802,1.09628,0.80156,0.93854,0.995,0.87998,0.52457,2.01675,1.04876,0.00048275,0.00048275,0.00048275
64,653.468,0.67221,1.2637,1.12316,0.90722,0.91063,0.97438,0.86824,0.50085,1.68633,1.0367,0.000470375,0.000470375,0.000470375
65,663.551,0.64924,1.16988,1.04936,0.90722,0.91063,0.97438,0.86824,0.50085,1.68633,1.0367,0.000458,0.000458,0.000458
66,673.675,0.55524,1.28383,1.02993,0.88439,0.94249,0.96604,0.83655,0.52838,1.6095,1.05785,0.000445625,0.000445625,0.000445625
67,683.779,0.67487,1.27489,1.16919,0.88439,0.94249,0.96604,0.83655,0.52838,1.6095,1.05785,0.00043325,0.00043325,0.00043325
68,693.924,0.55755,0.93957,1.01698,0.90245,0.98271,0.98667,0.84873,0.57336,1.65234,1.13221,0.000420875,0.000420875,0.000420875
69,704.043,0.59634,0.99142,1.03194,0.90245,0.98271,0.98667,0.84873,0.57336,1.65234,1.13221,0.0004085,0.0004085,0.0004085
70,714.217,0.62185,1.20819,1.02113,0.94258,0.82656,0.96604,0.85817,0.54638,1.63235,1.11534,0.000396125,0.000396125,0.000396125
71,724.369,0.66449,1.05724,1.09352,0.94258,0.82656,0.96604,0.85817,0.54638,1.63235,1.11534,0.00038375,0.00038375,0.00038375
72,734.545,0.67712,1.63795,1.13306,0.93267,0.86667,0.96604,0.85303,0.50813,1.56349,1.0861,0.000371375,0.000371375,0.000371375
73,744.68,0.69419,1.08088,1.08536,0.93267,0.86667,0.96604,0.85303,0.50813,1.56349,1.0861,0.000359,0.000359,0.000359
74,754.819,0.65403,1.07277,1.11058,0.95784,0.86667,0.96604,0.85791,0.47681,1.51465,1.06603,0.000346625,0.000346625,0.000346625
75,764.98,0.62543,1.17862,1.14079,0.95784,0.86667,0.96604,0.85791,0.47681,1.51465,1.06603,0.00033425,0.00033425,0.00033425
76,775.204,0.53264,0.94813,1.02821,0.95862,0.92245,0.995,0.91187,0.43466,1.50179,1.01547,0.000321875,0.000321875,0.000321875
77,785.356,0.6165,1.1504,1.10666,0.95862,0.92245,0.995,0.91187,0.43466,1.50179,1.01547,0.0003095,0.0003095,0.0003095
78,795.42,0.60266,1.22594,1.16819,0.963,0.92659,0.995,0.93288,0.40829,1.40686,0.98403,0.000297125,0.000297125,0.000297125
79,805.579,0.64829,1.04032,1.04991,0.963,0.92659,0.995,0.93288,0.40829,1.40686,0.98403,0.00028475,0.00028475,0.00028475
80,815.742,0.60182,1.17651,0.99923,0.97661,0.93326,0.995,0.94044,0.37788,1.38286,0.95192,0.000272375,0.000272375,0.000272375
81,826.378,0.44822,0.89878,0.96043,0.97661,0.93326,0.995,0.94044,0.37788,1.38286,0.95192,0.00026,0.00026,0.00026
82,837.759,0.59251,0.96209,1.03797,0.97482,0.93857,0.995,0.943,0.35352,1.37215,0.9235,0.000247625,0.000247625,0.000247625
83,848.241,0.65389,1.20178,1.08312,0.97482,0.93857,0.995,0.943,0.35352,1.37215,0.9235,0.00023525,0.00023525,0.00023525
84,859.807,0.55929,1.20664,0.99801,0.96966,0.94952,0.995,0.95273,0.34536,1.36635,0.90662,0.000222875,0.000222875,0.000222875
85,871.686,0.67033,1.24544,1.21173,0.96966,0.94952,0.995,0.95273,0.34536,1.36635,0.90662,0.0002105,0.0002105,0.0002105
86,882.45,0.54944,1.18602,1.07793,0.94218,0.98747,0.995,0.93962,0.3506,1.36422,0.89869,0.000198125,0.000198125,0.000198125
87,892.699,0.5583,1.04737,0.98839,0.94218,0.98747,0.995,0.93962,0.3506,1.36422,0.89869,0.00018575,0.00018575,0.00018575
88,902.798,0.53761,1.09952,1.03446,0.9412,0.98579,0.995,0.95124,0.3477,1.3457,0.896,0.000173375,0.000173375,0.000173375
89,912.901,0.62238,1.13595,1.02495,0.9412,0.98579,0.995,0.95124,0.3477,1.3457,0.896,0.000161,0.000161,0.000161
90,923.213,0.55033,0.98548,0.97981,0.94395,0.98509,0.995,0.94703,0.34207,1.32219,0.89358,0.000148625,0.000148625,0.000148625
91,933.334,0.45781,1.59692,1.16627,0.94395,0.98509,0.995,0.94703,0.34207,1.32219,0.89358,0.00013625,0.00013625,0.00013625
92,943.732,0.41796,1.44856,0.98168,0.96824,0.95032,0.995,0.93862,0.33555,1.32256,0.88307,0.000123875,0.000123875,0.000123875
93,953.875,0.41259,1.31191,0.88205,0.96824,0.95032,0.995,0.93862,0.33555,1.32256,0.88307,0.0001115,0.0001115,0.0001115
94,964.052,0.51954,3.53122,0.98794,0.97612,0.93604,0.995,0.94361,0.33553,1.33385,0.87729,9.9125e-05,9.9125e-05,9.9125e-05
95,974.201,0.37155,2.07142,0.97286,0.97612,0.93604,0.995,0.94361,0.33553,1.33385,0.87729,8.675e-05,8.675e-05,8.675e-05
96,984.367,0.48394,1.68807,1.01946,0.9742,0.93317,0.995,0.94703,0.33108,1.33908,0.87369,7.4375e-05,7.4375e-05,7.4375e-05
97,994.491,0.41373,1.64166,1.03978,0.9742,0.93317,0.995,0.94703,0.33108,1.33908,0.87369,6.2e-05,6.2e-05,6.2e-05
98,1004.7,0.32549,1.40578,0.95704,0.97378,0.93181,0.995,0.95689,0.32787,1.3347,0.87253,4.9625e-05,4.9625e-05,4.9625e-05
99,1014.81,0.48642,1.52495,1.04846,0.97378,0.93181,0.995,0.95689,0.32787,1.3347,0.87253,3.725e-05,3.725e-05,3.725e-05
100,1024.93,0.31832,1.57335,0.94906,0.97289,0.93198,0.995,0.95806,0.32549,1.33169,0.87168,2.4875e-05,2.4875e-05,2.4875e-05
